	A1002.YHNS	A1005.HELV	A1006.KQJA	A1012.AOPN	A1013.FFXK	A1015.FREJ	A1016.BWDG	A1038.SYHH	A1043.BVIY	H2O.1	SG.H2O.2
A1002.YHNS	0.0	0.874952590689	0.852094767721	0.8197639497	0.669134227024	0.798983660925	0.823172510453	0.927230257613	0.798470570923	0.923462614081	0.905004547299
A1005.HELV	0.874952590689	0.0	0.942253534323	0.693561094661	0.858437407795	0.689750716436	0.706841971212	0.687597904678	0.684597656481	0.718312432037	0.712899084651
A1006.KQJA	0.852094767721	0.942253534323	0.0	0.911099785171	0.755619834444	0.911637457668	0.926513870507	0.957512391711	0.906663531425	0.956025853898	0.937136165814
A1012.AOPN	0.8197639497	0.693561094661	0.911099785171	0.0	0.783586733285	0.675677216995	0.664520926265	0.75551456307	0.659065379468	0.768582710504	0.738006285112
A1013.FFXK	0.669134227024	0.858437407795	0.755619834444	0.783586733285	0.0	0.790777298569	0.812132453014	0.892306469946	0.814637049177	0.890241555943	0.875631555414
A1015.FREJ	0.798983660925	0.689750716436	0.911637457668	0.675677216995	0.790777298569	0.0	0.70019421832	0.756695926176	0.688171621362	0.741743301073	0.752178369924
A1016.BWDG	0.823172510453	0.706841971212	0.926513870507	0.664520926265	0.812132453014	0.70019421832	0.0	0.725858802043	0.721496628398	0.730710848264	0.682877567848
A1038.SYHH	0.927230257613	0.687597904678	0.957512391711	0.75551456307	0.892306469946	0.756695926176	0.725858802043	0.0	0.776018794845	0.704994720749	0.714475803009
A1043.BVIY	0.798470570923	0.684597656481	0.906663531425	0.659065379468	0.814637049177	0.688171621362	0.721496628398	0.776018794845	0.0	0.781517812122	0.75590337631
H2O.1	0.923462614081	0.718312432037	0.956025853898	0.768582710504	0.890241555943	0.741743301073	0.730710848264	0.704994720749	0.781517812122	0.0	0.694857057783
SG.H2O.2	0.905004547299	0.712899084651	0.937136165814	0.738006285112	0.875631555414	0.752178369924	0.682877567848	0.714475803009	0.75590337631	0.694857057783	0.0
